"type","method","R_Squared"
"train","Lasso",0.672175716355482
"train","Lasso",0.674638557937615
"train","Lasso",0.677681201382576
"train","Lasso",0.678632992237199
"train","Lasso",0.674085803498207
"train","Lasso",0.668867100766956
"train","Lasso",0.676191785611583
"train","Lasso",0.677718098227614
"train","Lasso",0.673603891975932
"train","Lasso",0.673610877886958
"train","Lasso",0.672942736979502
"train","Lasso",0.674178145143568
"train","Lasso",0.67910610433363
"train","Lasso",0.674400595226138
"train","Lasso",0.675423038570461
"train","Lasso",0.669792201181974
"train","Lasso",0.672959139439778
"train","Lasso",0.671078011339724
"train","Lasso",0.669387342584399
"train","Lasso",0.672167413677377
"train","Lasso",0.670827195995713
"train","Lasso",0.678368736605366
"train","Lasso",0.670803099205368
"train","Lasso",0.672121611782965
"train","Lasso",0.679194912861688
"train","Lasso",0.6759431648401
"train","Lasso",0.680456349555824
"train","Lasso",0.673465248685533
"train","Lasso",0.67669685778508
"train","Lasso",0.676126975141527
"train","Lasso",0.677720829658277
"train","Lasso",0.671977860713795
"train","Lasso",0.676049727887761
"train","Lasso",0.67220345740302
"train","Lasso",0.676540097501619
"train","Lasso",0.671894795176803
"train","Lasso",0.677541695219405
"train","Lasso",0.670447034786168
"train","Lasso",0.67439337467004
"train","Lasso",0.671684696522675
"train","Lasso",0.673283859604955
"train","Lasso",0.676654179073365
"train","Lasso",0.67499147149252
"train","Lasso",0.676046524688679
"train","Lasso",0.673188239900592
"train","Lasso",0.674151352362059
"train","Lasso",0.676488536960575
"train","Lasso",0.67390201346018
"train","Lasso",0.675511746076029
"train","Lasso",0.674402231392468
"train","Lasso",0.674830849171201
"train","Lasso",0.673173758302056
"train","Lasso",0.670374673022872
"train","Lasso",0.669618558568817
"train","Lasso",0.672273468784944
"train","Lasso",0.672017990879503
"train","Lasso",0.675271336428472
"train","Lasso",0.674978768697938
"train","Lasso",0.674488074748493
"train","Lasso",0.679143749826356
"train","Lasso",0.675030858578989
"train","Lasso",0.67313522660102
"train","Lasso",0.678111869227473
"train","Lasso",0.67212373301762
"train","Lasso",0.666436060775655
"train","Lasso",0.673421772066116
"train","Lasso",0.678417417779348
"train","Lasso",0.669922920054202
"train","Lasso",0.674943215553465
"train","Lasso",0.672477676502785
"train","Lasso",0.675710884444396
"train","Lasso",0.671847126050986
"train","Lasso",0.669935973103416
"train","Lasso",0.673739427993642
"train","Lasso",0.672340906273327
"train","Lasso",0.680345907202897
"train","Lasso",0.675285440288664
"train","Lasso",0.674578371365306
"train","Lasso",0.675396152670408
"train","Lasso",0.677992766422206
"train","Lasso",0.675513325602366
"train","Lasso",0.671711758038967
"train","Lasso",0.669004450622008
"train","Lasso",0.67138439876029
"train","Lasso",0.673295619583855
"train","Lasso",0.669363740808897
"train","Lasso",0.670196004354607
"train","Lasso",0.67296867483756
"train","Lasso",0.673769726682044
"train","Lasso",0.674450794419052
"train","Lasso",0.674106628890871
"train","Lasso",0.671450798663201
"train","Lasso",0.669715044137085
"train","Lasso",0.673718942251558
"train","Lasso",0.67603265059644
"train","Lasso",0.672126787778447
"train","Lasso",0.673663995964281
"train","Lasso",0.672905578624891
"train","Lasso",0.673188899291384
"train","Lasso",0.673975174022746
"train","Elastic-net",0.672218446304227
"train","Elastic-net",0.674605520379291
"train","Elastic-net",0.67762759985599
"train","Elastic-net",0.678742903538098
"train","Elastic-net",0.673939256574701
"train","Elastic-net",0.668899359769363
"train","Elastic-net",0.676130634867961
"train","Elastic-net",0.677788161685668
"train","Elastic-net",0.673529283758205
"train","Elastic-net",0.673598533806204
"train","Elastic-net",0.67288543829582
"train","Elastic-net",0.67418168220918
"train","Elastic-net",0.679174873777733
"train","Elastic-net",0.674518245010318
"train","Elastic-net",0.675431489032339
"train","Elastic-net",0.669750560932684
"train","Elastic-net",0.672964516916345
"train","Elastic-net",0.671154711837022
"train","Elastic-net",0.669390517165506
"train","Elastic-net",0.672113856529312
"train","Elastic-net",0.670766880752709
"train","Elastic-net",0.678374383978309
"train","Elastic-net",0.670730994014713
"train","Elastic-net",0.672125993963221
"train","Elastic-net",0.679335722532352
"train","Elastic-net",0.675984383352053
"train","Elastic-net",0.680583377130073
"train","Elastic-net",0.673394882885619
"train","Elastic-net",0.6767377179356
"train","Elastic-net",0.676247986461695
"train","Elastic-net",0.677860303899716
"train","Elastic-net",0.671826822771055
"train","Elastic-net",0.676175236232611
"train","Elastic-net",0.672249368501501
"train","Elastic-net",0.676629731863978
"train","Elastic-net",0.671923473622981
"train","Elastic-net",0.677593134433622
"train","Elastic-net",0.67041998631558
"train","Elastic-net",0.674427741639788
"train","Elastic-net",0.671749969906462
"train","Elastic-net",0.673232274501527
"train","Elastic-net",0.676678777812766
"train","Elastic-net",0.674971911232403
"train","Elastic-net",0.675915374666402
"train","Elastic-net",0.67330210138228
"train","Elastic-net",0.674154646551551
"train","Elastic-net",0.676568224909833
"train","Elastic-net",0.673835722503958
"train","Elastic-net",0.675518123629784
"train","Elastic-net",0.674359903986589
"train","Elastic-net",0.67498087202839
"train","Elastic-net",0.673180903837612
"train","Elastic-net",0.669986188667502
"train","Elastic-net",0.66971383396548
"train","Elastic-net",0.672295027857692
"train","Elastic-net",0.671944101376174
"train","Elastic-net",0.67521261180285
"train","Elastic-net",0.674948140520414
"train","Elastic-net",0.674587461906061
"train","Elastic-net",0.679274085009186
"train","Elastic-net",0.674960745874463
"train","Elastic-net",0.673181412213419
"train","Elastic-net",0.678132328389114
"train","Elastic-net",0.672130241499651
"train","Elastic-net",0.66652633680467
"train","Elastic-net",0.673402130353847
"train","Elastic-net",0.678365906272854
"train","Elastic-net",0.669887125586395
"train","Elastic-net",0.674878191425065
"train","Elastic-net",0.672483176648716
"train","Elastic-net",0.675783801864285
"train","Elastic-net",0.671955625861765
"train","Elastic-net",0.669974410827083
